standing,team,games,wins,draws,losses,scored,missed,points,home_wins,home_draws,home_losses,home_scored,home_missed,home_points,away_wins,away_draws,away_losses,away_scored,away_missed,away_points
3,16,10,6,2,2,20,10,20,3,1,1,9,4,10,3,1,1,11,6,10
4,1,10,4,5,1,18,11,17,2,3,0,10,6,9,2,2,1,8,5,8
5,29,10,5,2,3,19,14,17,3,0,2,8,6,9,2,2,1,11,8,8
6,26,10,4,3,3,13,10,15,3,1,1,8,3,10,1,2,2,5,7,5
7,15,10,4,2,4,13,13,14,2,2,1,5,4,8,2,0,3,8,9,6
8,27,10,4,2,4,13,14,14,2,0,3,6,6,6,2,2,1,7,8,8
9,11,10,3,4,3,19,17,13,1,2,2,10,11,5,2,2,1,9,6,8
10,17,10,3,4,3,16,14,13,3,1,1,10,5,10,0,3,2,6,9,3
11,28,10,3,4,3,13,13,13,1,3,1,10,8,6,2,1,2,3,5,7
12,18,10,3,4,3,11,15,13,2,2,1,7,7,8,1,2,2,4,8,5
13,24,10,3,3,4,10,12,12,2,1,2,5,5,7,1,2,2,5,7,5
14,13,10,2,5,3,13,14,11,1,2,2,7,8,5,1,3,1,6,6,6
15,25,10,2,5,3,11,18,11,1,3,1,6,6,6,1,2,2,5,12,5
16,2,10,3,1,6,5,16,10,1,1,3,3,8,4,2,0,3,2,8,6
17,10,10,2,3,5,14,19,9,1,1,3,5,8,4,1,2,2,9,11,5
18,14,10,2,3,5,11,16,9,1,3,1,10,9,6,1,0,4,1,7,3
19,20,10,2,1,7,9,20,7,2,1,2,7,6,7,0,0,5,2,14,0
20,7,10,0,4,6,5,19,4,0,2,3,3,9,2,0,2,3,2,10,2

1,9,11,9,2,0,28,11,29,5,0,0,13,3,15,4,2,0,15,8,14
2,23,11,8,1,2,23,5,25,5,1,0,17,1,16,3,0,2,6,4,9
3,16,11,6,3,2,22,12,21,3,1,1,9,4,10,3,2,1,13,8,11
4,29,11,5,3,3,19,14,18,3,1,2,8,6,10,2,2,1,11,8,8
5,26,11,5,3,3,15,11,18,4,1,1,10,4,13,1,2,2,5,7,5
6,1,11,4,5,2,19,13,17,2,3,0,10,6,9,2,2,2,9,7,8
7,17,11,4,4,3,17,14,16,4,1,1,11,5,13,0,3,2,6,9,3
8,18,11,4,4,3,13,15,16,2,2,1,7,7,8,2,2,2,6,8,8
9,24,11,4,3,4,12,13,15,2,1,2,5,5,7,2,2,2,7,8,8
10,11,11,3,5,3,20,18,14,1,2,2,10,11,5,2,3,1,10,7,9
11,15,11,4,2,5,14,15,14,2,2,2,6,6,8,2,0,3,8,9,6
12,27,11,4,2,5,14,16,14,2,0,4,7,8,6,2,2,1,7,8,8
13,28,11,3,4,4,13,15,13,1,3,2,10,10,6,2,1,2,3,5,7
14,25,11,2,6,3,12,19,12,1,4,1,7,7,7,1,2,2,5,12,5
15,13,11,2,5,4,13,15,11,1,2,2,7,8,5,1,3,2,6,7,6
16,2,11,3,2,6,5,16,11,1,1,3,3,8,4,2,1,3,2,8,7
17,10,11,2,3,6,14,20,9,1,1,3,5,8,4,1,2,3,9,12,5
18,14,11,2,3,6,11,18,9,1,3,1,10,9,6,1,0,5,1,9,3
19,20,11,2,2,7,11,22,8,2,2,2,9,8,8,0,0,5,2,14,0
20,7,11,1,4,6,6,19,7,1,2,3,4,9,5,0,2,3,2,10,2

1,9,12,10,2,0,30,11,32,6,0,0,15,3,18,4,2,0,15,8,14
2,23,12,8,2,2,24,6,26,5,1,0,17,1,16,3,1,2,7,5,10
3,16,12,7,3,2,24,13,24,4,1,1,11,5,13,3,2,1,13,8,11
4,17,12,5,4,3,19,15,19,4,1,1,11,5,13,1,3,2,8,10,6
5,18,12,5,4,3,14,15,19,3,2,1,8,7,11,2,2,2,6,8,8
6,29,12,5,3,4,20,16,18,3,1,2,8,6,10,2,2,2,12,10,8
7,26,12,5,3,4,16,13,18,4,1,1,10,4,13,1,2,3,6,9,5
8,1,12,4,5,3,20,15,17,2,3,1,11,8,9,2,2,2,9,7,8
9,11,12,4,5,3,22,19,17,2,2,2,12,12,8,2,3,1,10,7,9
10,27,12,5,2,5,16,17,17,2,0,4,7,8,6,3,2,1,9,9,11
11,24,12,4,3,5,13,15,15,2,1,3,6,7,7,2,2,2,7,8,8
12,15,12,4,2,6,15,18,14,2,2,2,6,6,8,2,0,4,9,12,6
13,28,12,3,4,5,13,17,13,1,3,2,10,10,6,2,1,3,3,7,7
14,25,12,2,7,3,12,19,13,1,4,1,7,7,7,1,3,2,5,12,6
15,10,12,3,3,6,17,21,12,2,1,3,8,9,7,1,2,3,9,12,5
16,2,12,3,3,6,6,17,12,1,2,3,4,9,5,2,1,3,2,8,7
17,13,12,2,5,5,14,17,11,1,2,3,8,10,5,1,3,2,6,7,6
18,14,12,2,4,6,11,18,10,1,4,1,10,9,7,1,0,5,1,9,3
19,7,12,2,4,6,8,20,10,1,2,3,4,9,5,1,2,3,4,11,5
20,20,12,2,2,8,11,23,8,2,2,2,9,8,8,0,0,6,2,15,0

1,9,13,10,3,0,30,11,33,6,0,0,15,3,18,4,3,0,15,8,15
2,16,13,8,3,2,27,13,27,4,1,1,11,5,13,4,2,1,16,8,14
3,23,13,8,2,3,24,9,26,5,1,1,17,4,16,3,1,2,7,5,10
4,17,13,6,4,3,22,15,22,5,1,1,14,5,16,1,3,2,8,10,6
5,29,13,6,3,4,21,16,21,4,1,2,9,6,13,2,2,2,12,10,8
6,1,13,5,5,3,21,15,20,2,3,1,11,8,9,3,2,2,10,7,11
7,27,13,6,2,5,18,18,20,3,0,4,9,9,9,3,2,1,9,9,11
