,result,t1_avg_away_pts_tot,t1_avg_home_pts_tot,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_away_pts_tot,t2_avg_home_pts_tot,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_mu,t2_avg_scrd_tot,t2_standing
95,1.0,0.1404255319148936,0.30638297872340425,0.5,0.2978723404255319,0.4978723404255319,1.0,0.32340425531914896,18.0,0.37872340425531914,0.7404255319148936,2.0,1.1191489361702127,1.446808510638298,2.0,1.0936170212765959,6.0
96,2.0,0.0,0.2553191489361702,,0.2553191489361702,0.40425531914893614,,0.19148936170212766,12.0,0.3829787234042553,0.7659574468085106,,1.148936170212766,1.323404255319149,,0.9148936170212766,13.0
97,0.0,0.37872340425531914,0.3659574468085107,1.0,0.7446808510638298,1.5574468085106383,1.0,0.8340425531914895,19.0,0.42127659574468085,0.5829787234042554,1.0,1.0042553191489363,1.4595744680851062,1.0,0.9574468085106383,20.0
98,2.0,0.5574468085106383,0.9106382978723404,1.5000000000000002,1.4680851063829787,1.3021276595744682,2.0,1.4936170212765958,4.0,0.23404255319148937,0.7872340425531915,1.5000000000000002,1.0212765957446808,1.1702127659574468,1.5000000000000002,0.8170212765957447,11.0
99,0.0,0.0851063829787234,0.0851063829787234,,0.1702127659574468,0.3191489361702128,,0.1702127659574468,17.0,0.7872340425531915,0.8638297872340426,,1.651063829787234,1.2255319148936172,,1.497872340425532,7.0
100,0.0,0.13749999999999998,0.3625,1.5000000000000002,0.3541666666666667,0.5083333333333333,1.5000000000000002,0.3583333333333334,15.0,0.425,1.0125,1.5000000000000002,1.4375,1.325,1.0,1.5291666666666668,6.0
101,1.0,1.0,1.3208333333333333,2.8000000000000003,2.3208333333333333,0.7208333333333333,1.9000000000000001,1.9041666666666668,3.0,0.3791666666666667,0.7541666666666668,0.1,1.1333333333333335,1.7208333333333332,0.5,1.1041666666666667,16.0
102,2.0,0.42083333333333334,0.6458333333333334,0.1,1.0666666666666667,1.5041666666666667,1.3000000000000003,1.1666666666666667,14.0,1.0958333333333334,1.1416666666666668,2.8000000000000003,2.2375000000000003,0.6750000000000002,2.6,1.9041666666666668,1.0
103,1.0,0.0,0.25,,0.25,0.4583333333333333,,0.20833333333333334,13.0,0.37083333333333335,0.3791666666666667,,0.75,1.5250000000000001,,0.8166666666666668,19.0
104,0.0,0.7916666666666666,0.8208333333333333,0.5,1.6125,1.0666666666666667,2.2,1.4375,11.0,0.7916666666666666,0.8458333333333333,2.0,1.6375,1.2208333333333334,2.8000000000000003,1.4875,7.0
105,1.0,0.45416666666666666,0.8708333333333332,0.4,1.3250000000000002,1.0666666666666667,0.0,1.0791666666666668,10.0,0.9833333333333334,1.1416666666666666,2.2,2.125,0.8375,0.8,2.0625,5.0
106,1.0,0.43333333333333335,0.5708333333333334,0.6000000000000001,1.0041666666666667,1.4291666666666665,0.8,0.9375,20.0,0.4375,0.75,2.4000000000000004,1.1875,1.3166666666666667,1.2000000000000002,0.9583333333333334,12.0
107,0.0,0.2916666666666667,0.7708333333333334,,1.0625,1.1458333333333333,,0.8208333333333334,9.0,0.08333333333333333,0.10416666666666667,,0.1875,0.3333333333333333,,0.1875,18.0
108,0.0,0.37083333333333335,0.725,0.30000000000000004,1.0958333333333334,1.4583333333333333,0.30000000000000004,1.0916666666666668,8.0,0.5375,0.7041666666666667,2.7,1.241666666666667,1.2916666666666667,1.6,1.1458333333333333,17.0
109,1.0,0.8625000000000002,1.1416666666666668,1.4,2.004166666666667,1.0583333333333333,2.1,2.129166666666667,2.0,0.5458333333333334,0.8916666666666666,0.8,1.4375,1.2958333333333334,1.8,1.4625000000000001,4.0
110,0.0,0.963265306122449,1.1183673469387754,1.0,2.0816326530612246,0.8816326530612245,1.0,2.0408163265306123,6.0,0.1346938775510204,0.3755102040816326,1.0,0.3673469387755102,0.49795918367346936,1.0,0.35102040816326535,14.0
111,1.0,1.1346938775510205,1.1183673469387756,0.7000000000000001,2.253061224489796,0.6612244897959185,0.6000000000000001,1.9469387755102041,1.0,0.9795918367346939,1.3551020408163266,1.9000000000000004,2.3346938775510204,0.7061224489795919,1.9000000000000004,1.906122448979592,3.0
112,2.0,0.5469387755102041,0.689795918367347,0.1,1.2367346938775512,1.3061224489795917,0.9,1.163265306122449,16.0,0.7755102040816326,0.8244897959183674,2.8000000000000003,1.6,1.0653061224489797,2.7,1.4285714285714286,11.0
113,0.0,0.42857142857142855,0.7346938775510204,0.6000000000000001,1.163265306122449,1.3714285714285714,0.2,0.9387755102040817,13.0,0.4448979591836735,0.9142857142857143,1.8000000000000003,1.3591836734693878,1.0653061224489797,1.0,1.1183673469387756,9.0
114,1.0,0.363265306122449,0.3714285714285715,0.5,0.7346938775510204,1.5346938775510204,1.0,0.8,19.0,0.2857142857142857,0.7755102040816326,2.0,1.0612244897959184,1.163265306122449,1.5000000000000002,0.8448979591836736,10.0
115,2.0,0.10204081632653061,0.10204081632653061,,0.20408163265306123,0.3673469387755102,,0.22448979591836735,17.0,0.8448979591836736,1.179591836734694,,2.024489795918367,1.036734693877551,,2.146938775510204,2.0
116,1.0,0.7959183673469388,0.8285714285714286,2.0,1.6244897959183673,1.216326530612245,2.5,1.4775510204081634,7.0,0.4122448979591837,0.6326530612244898,0.5,1.0448979591836736,1.5551020408163265,1.3,1.142857142857143,15.0
