,result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_home,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
638,1.0,0.8,1.0297029702970297,1.4,1.6336633663366336,1.2,0.9207920792079208,1.0,19.0,2.0,1.2079207920792079,1.5148514851485149,1.108910891089109,11.0
639,1.0,1.4,1.2079207920792079,0.8,1.3267326732673268,0.4,0.9900990099009901,1.0,12.0,1.4,1.1584158415841583,1.3663366336633664,1.108910891089109,6.0
640,0.0,0.2,1.2647058823529411,2.0,1.0588235294117647,0.8,1.0392156862745099,1.0,14.0,2.6,2.1176470588235294,0.7745098039215687,2.1470588235294117,4.0
641,1.0,0.8,1.107843137254902,1.8,1.5392156862745099,0.8,1.1666666666666667,1.0,9.0,2.0,1.5196078431372548,1.1862745098039216,1.4607843137254901,11.0
642,2.0,1.6,1.1470588235294117,1.2,1.3823529411764706,1.4,1.1176470588235294,1.0,7.0,1.0,1.6176470588235294,1.1372549019607843,1.4509803921568627,5.0
643,1.0,3.0,1.9607843137254901,0.3333333333333333,1.0294117647058822,2.3333333333333335,2.019607843137255,1.0,2.0,0.0,0.984375,1.5625,0.921875,19.0
644,1.0,1.3333333333333333,1.21875,1.0,1.296875,1.0,0.984375,1.0,16.0,1.3333333333333333,1.2254901960784315,1.3333333333333333,1.0098039215686274,10.0
645,0.0,3.0,1.196078431372549,0.6666666666666666,1.5392156862745099,2.3333333333333335,1.1274509803921569,1.0,12.0,0.0,1.0625,1.515625,1.28125,8.0
646,0.0,0.0,1.1923076923076923,3.0,1.9230769230769231,2.0,1.5769230769230769,1.0,13.0,3.0,1.5196078431372548,1.2941176470588236,1.3333333333333333,15.0
647,0.0,1.6,1.8333333333333333,1.2,0.9117647058823529,1.4,1.6862745098039216,1.0,6.0,1.0,1.0490196078431373,1.6470588235294117,0.9509803921568627,18.0
648,0.0,1.6666666666666667,0.921875,1.3333333333333333,1.8125,1.6666666666666667,1.0625,1.0,17.0,0.6666666666666666,1.0784313725490196,1.5294117647058822,1.1372549019607843,20.0
649,1.0,2.6,2.2450980392156863,0.6,0.7647058823529411,1.6,2.0588235294117645,1.0,1.0,0.2,1.6274509803921569,1.1470588235294117,1.696078431372549,3.0
650,1.0,1.3333333333333333,2.1067961165048543,0.3333333333333333,0.7669902912621359,1.0,2.1262135922330097,1.0,4.0,1.3333333333333333,1.2461538461538462,1.2769230769230768,0.9846153846153847,15.0
651,0.0,1.6,1.6310679611650485,2.0,1.1359223300970873,1.8,1.4563106796116505,1.0,5.0,1.0,1.970873786407767,1.0194174757281553,2.0194174757281553,2.0
652,0.0,3.0,1.2135922330097086,0.0,1.3300970873786409,2.0,1.0,1.0,10.0,0.0,0.9230769230769231,1.8307692307692307,1.0923076923076922,17.0
653,0.0,1.6,1.6116504854368932,1.6,1.1553398058252426,2.0,1.6893203883495145,1.0,3.0,1.0,1.2621359223300972,1.0485436893203883,1.029126213592233,13.0
654,1.0,0.2,1.0776699029126213,2.4,1.5436893203883495,0.4,1.1553398058252426,1.0,19.0,2.6,1.825242718446602,0.912621359223301,1.6796116504854368,6.0
655,1.0,1.2,1.5145631067961165,1.4,1.2912621359223302,1.2,1.3300970873786409,1.0,16.0,1.8,1.1941747572815533,1.5242718446601942,1.116504854368932,11.0
656,1.0,2.2,1.5048543689320388,0.6,1.1941747572815533,2.0,1.4466019417475728,1.0,14.0,0.4,1.1359223300970873,1.3883495145631068,1.116504854368932,7.0
657,0.0,1.0,1.0615384615384615,2.0,1.4923076923076923,0.6666666666666666,1.2615384615384615,1.0,9.0,2.0,1.1262135922330097,1.5242718446601942,1.174757281553398,8.0
658,2.0,0.0,1.0485436893203883,3.0,1.6407766990291262,0.2,0.9514563106796117,1.0,18.0,3.0,2.2524271844660193,0.7669902912621359,2.058252427184466,1.0
659,1.0,0.0,0.9692307692307692,2.0,1.5692307692307692,1.0,0.9076923076923077,1.0,20.0,3.0,1.1851851851851851,1.8888888888888888,1.5555555555555556,12.0
660,2.0,0.0,1.1428571428571428,4.0,1.9642857142857142,0.0,1.5,1.0,15.0,3.0,2.1153846153846154,0.7692307692307693,2.1346153846153846,3.0
661,0.0,2.0,1.0,1.0,1.5454545454545454,1.0,0.9545454545454546,1.0,18.0,1.0,1.625,1.1538461538461537,1.4711538461538463,5.0
662,1.0,1.8,1.8076923076923077,1.4,0.9326923076923077,2.2,1.6730769230769231,1.0,6.0,1.2,2.2596153846153846,0.7596153846153846,2.076923076923077,1.0
663,1.0,2.0,1.6057692307692308,0.6,1.1538461538461537,1.6,1.6826923076923077,1.0,4.0,0.8,1.0384615384615385,1.6634615384615385,0.9423076923076923,20.0
664,0.0,1.2,1.9615384615384615,0.6,1.0384615384615385,0.8,2.0288461538461537,1.0,2.0,1.2,1.125,1.3942307692307692,1.1057692307692308,8.0
665,1.0,0.4,1.125,2.4,1.5192307692307692,1.0,1.1730769230769231,1.0,7.0,2.2,1.5288461538461537,1.2884615384615385,1.3557692307692308,12.0
666,1.0,0.8,1.2596153846153846,1.2,1.0480769230769231,1.0,1.0288461538461537,1.0,13.0,2.0,1.1826923076923077,1.5480769230769231,1.1153846153846154,14.0
