result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
2,1.5,0.9545454545,1.5,1.5,0.5,1.1136363636,14,1.5,1,1.4512195122,1.0365853659,17
1,0.25,1.256097561,2.5,1.4512195122,0.75,1.1463414634,18,2.5,1.6341463415,1.2682926829,1.6341463415,5
1,2,2.1219512195,1.5,0.7804878049,2.5,1.9512195122,4,0.5,0.8863636364,1.75,1,19
2,0,1.2045454545,3,1.4090909091,0,0.9772727273,12,3,2.3414634146,0.6341463415,1.987804878,2
1,0.25,1.1097560976,1.5,1.3170731707,0.5,0.8780487805,16,2.5,2.2682926829,0.6463414634,1.8048780488,1
2,1.75,1.1951219512,1,1.3292682927,1.5,1.0853658537,20,1,1.6707317073,0.9756097561,1.4512195122,10
0,1,1.6144578313,1.5,1.2771084337,1.25,1.6265060241,8,1.75,1.4457831325,1.3493975904,1.4096385542,6
1,0.5,2.2409638554,1,0.6746987952,0.25,1.7951807229,2,2,2.1325301205,0.7831325301,2,4
0,3,1.686746988,1.5,0.9638554217,3,1.4457831325,9,0,1.1777777778,1.4222222222,0.9555555556,13
0,3,1.2891566265,0.75,1.265060241,2,1.1084337349,14,0,1.1807228916,1.2289156627,1.0120481928,10
1,2.5,2.0481927711,0.25,0.9397590361,2.75,1.9759036145,3,0.25,1.2771084337,1.4457831325,1.156626506,18
0,3,2.3493975904,0.25,0.6265060241,2,1.9879518072,1,0,1.0481927711,1.4939759036,1.0120481928,7
0,1.25,1.0240963855,1.5,1.4457831325,1.25,1.0481927711,16,1.25,1.3493975904,1.3975903614,1.5421686747,5
1,0,0.8666666667,3,1.8444444444,0,1,19,3,1.1325301205,1.313253012,0.9036144578,11
1,0,1.1785714286,1.5,1.2380952381,0.5,1.0238095238,11,3,0.9130434783,1.8260869565,1.0217391304,19
0,1.25,1.119047619,0.75,1.3214285714,0.75,0.9047619048,13,1.25,1.4404761905,1.3452380952,1.4047619048,5
1,1,2.0595238095,1.5,0.9523809524,1.5,2.0238095238,3,1,0.9130434783,1.5217391304,1.1086956522,16
1,2.25,2.3333333333,0.25,0.6428571429,1.25,1.9880952381,2,0.75,1.0238095238,1.4523809524,1.0595238095,15
2,1,1.2023809524,1,1.3095238095,0.75,1.0714285714,20,1.75,1.3452380952,1.4047619048,1.5476190476,4
1,0,1.1739130435,1.5,1.4130434783,0.5,0.9565217391,12,3,1.2857142857,1.2738095238,1.119047619,14
1,0,1.0476190476,2,1.5,0,1.0238095238,7,3,2.1071428571,0.7976190476,1.9761904762,6
1,1,1.6071428571,1.75,1.2738095238,1.5,1.619047619,8,1.75,2.25,0.6666666667,1.7976190476,1
0,0.25,1.2705882353,1.25,1.2823529412,0,1.1176470588,15,2.5,2.0705882353,0.9529411765,2.0352941176,2
0,0.5,1.4352941176,2.5,1.3411764706,1.75,1.4,5,2,1.2,1.2235294118,1.0352941176,10
1,1.5,2.0823529412,1.5,0.8,1.5,1.9529411765,8,1.5,2.3411764706,0.6470588235,1.9882352941,1
1,0,1.0117647059,2,1.4588235294,0.25,1.0588235294,16,3,1.6705882353,0.9647058824,1.4352941176,9
1,2.5,2.2235294118,0,0.6823529412,1.25,1.7882352941,3,0.25,1.2823529412,1.5058823529,1.1882352941,14
1,0.5,0.8936170213,2,1.5531914894,1,1.1063829787,18,2,1.0705882353,1.4823529412,1.0235294118,6
0,1,0.8936170213,1,1.829787234,1,1,19,1,1.1882352941,1.3176470588,1.0705882353,20
